1	0	1	1
2	7	4	4
3	40	121	107
4	1048	2489	1131
5	21398	63	39
6	21912	8	7
7	21973	78	73
8	22631	47	41
9	23016	9	3
10	23080	172	150
11	24494	38	34
12	24805	41	35
13	25142	89	43
14	25856	58	37
15	26314	569	475
16	31009	52	41
17	31441	253	222
18	33480	467	376
19	37315	2521	1404
20	57805	1627	978
21	71241	30	23
22	71480	48	36
23	71881	223	204
24	73698	19	15
25	73851	8	8
26	73918	151	119
27	75150	73	33
28	75772	2	2
29	75790	44	34
30	76144	31	29
31	76404	74	62
32	77015	15946	2464
33	208285	215	193
34	210033	9	4
35	210107	187	158
36	211645	206	160
37	213338	1984	939
38	229339	52	47
39	229765	54	33
40	230202	36	31
41	230507	74	28
42	231134	20	13
43	231306	21	20
44	231479	5	2
45	231516	210	144
46	233241	6	5
47	233293	122	115
48	234326	8	8
49	234393	31	29
50	234644	1263	839
51	245113	194	170
52	246720	424	363
53	250207	87	58
54	250925	30	27
55	251174	22	20
56	251353	198	172
57	252995	317	270
58	255609	277	227
59	257913	53	49
60	258346	290	203
61	260701	549	414
62	265233	138	57
63	266325	772	405
64	272631	4	4
65	272665	72	60
66	273271	1039	723
67	281845	2789	1265
68	304600	6	6
69	304648	21	20
70	304823	1274	627
71	315381	1229	642
72	325644	480	357
73	329592	588	458
74	334489	42	36
75	334844	89	62
76	335570	26	25
77	335787	27	27
78	336006	486	409
79	340021	899	535
80	347390	706	427
81	353042	63	58
82	353560	173	141
83	354993	1	1
84	355002	17	15
85	355141	74	73
86	355756	920	606
87	363366	9	8
88	363442	385	290
89	366611	961	457
90	374540	452	306
91	378311	44	37
92	378667	37	32
93	378976	704	438
94	384749	227	195
95	386633	13	13
96	386741	2588	1387
97	408039	493	377
98	412010	1	1
99	412020	892	532
100	419402	203	144
101	421075	1	1
102	421086	2	1
103	421103	70	58
104	421673	1	1
105	421684	3	3
106	421712	364	230
107	424646	211	167
108	426343	132	104
109	427442	307	214
110	429987	255	222
111	432073	69	55
112	432635	8	8
113	432705	13	12
114	432815	95	63
115	433592	456	344
116	437359	308	248
117	439877	5	3
118	439921	96	72
119	440699	15	13
120	440824	197	167
121	442443	74	71
122	443052	9	9
123	443133	373	260
124	446199	22	19
125	446376	26	22
126	446596	206	177
127	448291	173	150
128	449715	42	38
129	450060	314	228
130	452653	64	26
131	453153	13	13
132	453265	373	322
133	456352	121	105
134	457351	35	27
135	457625	53	48
136	458067	54	40
137	458499	90	56
138	459246	67	61
139	459772	146	128
140	460981	296	248
141	463389	389	294
142	466557	479	363
143	470422	88	84
144	471144	87	37
145	471872	32	22
146	472133	106	65
147	472989	450	264
148	476610	120	67
149	477528	16	15
150	477667	158	133
151	478973	25	24
152	479181	52	46
153	479611	11	11
154	479702	1503	949
155	492036	338	253
156	494805	119	102
157	495789	173	151
158	497206	80	74
159	497880	498	390
160	502006	1	1
161	502017	175	92
162	503482	239	165
163	505486	180	170
164	506970	30	27
165	507221	30	30
166	507467	158	137
167	508784	202	168
168	510464	692	424
169	516164	14	11
170	516274	639	506
171	521501	111	92
172	522399	41	31
173	522744	3	3
174	522771	601	338
175	527648	347	210
176	530453	471	236
177	534303	452	350
178	538035	83	70
179	538723	281	206
180	541053	180	163
181	542527	34	30
182	542804	211	133
183	544575	160	132
184	545884	45	32
185	546267	225	194
186	548139	394	271
187	551389	50	36
188	551800	118	107
189	552769	794	402
190	559262	519	378
191	563555	30	27
192	563807	532	248
193	568160	110	60
194	569057	688	517
195	574686	12	11
196	574783	163	86
197	576142	45	39
198	576518	8	5
199	576587	28	22
200	576819	1	1
201	576830	15	14
202	576959	130	112
203	578031	181	124
204	579527	22	21
205	579706	12	7
206	579811	36	36
207	580114	96	70
208	580902	28	24
209	581130	56	50
210	581586	115	86
211	582516	102	62
212	583364	21	17
213	583537	172	80
214	584947	122	101
215	585938	438	265
216	589577	44	44
217	589931	11	7
218	590022	11	11
219	590116	120	98
220	591071	5	5
221	591116	154	101
