1	606
2	495
3	138
4	379
5	35
6	513
7	204
8	294
9	402
10	160
11	232
12	296
13	392
14	477
15	272
16	132
17	453
18	294
19	252
20	145
21	323
22	209
23	313
24	310
25	301
26	202
27	454
28	229
29	171
30	579
31	261
32	63
33	46
34	230
35	170
36	284
37	247
38	277
39	129
40	297
41	377
42	164
43	112
44	120
45	232
46	131
47	458
48	117
49	171
50	183
51	64
52	293
53	347
54	103
55	348
56	247
57	97
58	93
59	114
60	200
61	347
62	299
63	184
64	128
65	471
66	50
67	129
68	156
69	187
70	348
71	169
72	453
73	373
74	197
75	175
76	324
77	14
78	80
79	118
80	208
81	85
82	150
83	387
84	333
85	365
86	335
87	352
88	151
89	150
90	221
91	307
92	273
93	293
94	329
95	365
96	326
97	324
98	279
99	283
100	273
101	331
102	78
103	91
104	479
105	441
106	220
107	72
108	378
109	402
110	245
111	362
112	449
113	246
114	164
115	222
116	274
117	333
118	368
119	169
120	90
121	140
122	77
123	114
124	386
125	417
126	162
127	69
128	132
129	183
130	320
131	301
132	410
133	148
134	70
135	181
136	141
137	125
138	151
139	125
140	223
141	257
142	94
143	192
144	157
145	136
146	270
147	209
148	142
149	97
150	309
151	250
152	460
153	626
154	78
155	544
156	137
157	510
158	356
159	418
160	280
161	317
162	89
163	487
164	99
165	71
166	83
167	199
168	232
169	312
170	392
171	342
172	65
173	81
174	312
175	156
176	264
177	369
178	412
179	174
180	513
181	476
182	196
183	246
184	406
185	419
186	337
187	170
188	422
189	328
190	171
191	67
192	157
193	200
194	119
195	226
196	304
197	271
198	167
199	216
200	250
201	103
202	204
203	424
204	343
205	316
206	157
207	405
208	403
209	390
210	230
211	211
212	125
213	226
214	238
215	194
216	260
217	542
218	255
219	232
220	430
221	207
222	387
223	189
224	230
225	364
226	152
227	170
228	293
229	189
230	92
231	152
232	223
233	209
234	224
235	369
236	285
237	322
238	381
239	181
240	371
241	549
242	327
243	320
244	580
245	733
246	402
247	6
248	266
249	389
250	372
251	396
252	478
253	377
254	359
255	184
256	364
257	527
258	150
259	67
260	179
261	205
262	239
263	133
264	593
265	48
266	158
267	132
268	391
269	311
270	145
271	53
272	45
273	75
274	75
275	82
276	129
277	51
278	162
279	184
280	317
281	327
282	443
283	216
284	298
285	76
286	346
287	191
288	403
289	450
290	196
291	155
292	599
293	266
294	395
295	369
296	309
297	268
298	301
299	168
300	93
301	451
302	281
303	216
304	283
305	308
306	229
307	298
308	196
309	191
310	107
311	292
312	292
313	210
314	117
315	263
316	347
317	350
318	127
319	112
320	264
321	205
322	292
323	237
324	118
325	448
326	14
327	97
